CohortMonth,CohortSize,CohortIndex,ActiveCustomers,RetentionRatePercent
2010-12,885,0,885,100.0
2010-12,885,1,324,36.61
2010-12,885,2,286,32.32
2010-12,885,3,340,38.42
2010-12,885,4,321,36.27
2010-12,885,5,352,39.77
2010-12,885,6,321,36.27
2010-12,885,7,309,34.92
2010-12,885,8,313,35.37
2010-12,885,9,350,39.55
2010-12,885,10,331,37.4
2010-12,885,11,445,50.28
2010-12,885,12,235,26.55
2011-01,417,0,417,100.0
2011-01,417,1,92,22.06
2011-01,417,2,111,26.62
2011-01,417,3,96,23.02
2011-01,417,4,134,32.13
2011-01,417,5,120,28.78
2011-01,417,6,103,24.7
2011-01,417,7,101,24.22
2011-01,417,8,125,29.98
2011-01,417,9,136,32.61
2011-01,417,10,152,36.45
2011-01,417,11,49,11.75
2011-02,380,0,380,100.0
2011-02,380,1,71,18.68
2011-02,380,2,71,18.68
2011-02,380,3,108,28.42
2011-02,380,4,103,27.11
2011-02,380,5,94,24.74
2011-02,380,6,96,25.26
2011-02,380,7,106,27.89
2011-02,380,8,94,24.74
2011-02,380,9,116,30.53
2011-02,380,10,26,6.84
2011-03,452,0,452,100.0
2011-03,452,1,68,15.04
2011-03,452,2,114,25.22
2011-03,452,3,90,19.91
2011-03,452,4,101,22.35
2011-03,452,5,76,16.81
2011-03,452,6,121,26.77
2011-03,452,7,104,23.01
2011-03,452,8,126,27.88
2011-03,452,9,39,8.63
2011-04,300,0,300,100.0
2011-04,300,1,64,21.33
2011-04,300,2,61,20.33
2011-04,300,3,63,21.0
2011-04,300,4,59,19.67
2011-04,300,5,68,22.67
2011-04,300,6,65,21.67
2011-04,300,7,78,26.0
2011-04,300,8,22,7.33
2011-05,284,0,284,100.0
2011-05,284,1,54,19.01
2011-05,284,2,49,17.25
2011-05,284,3,49,17.25
2011-05,284,4,59,20.77
2011-05,284,5,66,23.24
2011-05,284,6,75,26.41
2011-05,284,7,27,9.51
2011-06,242,0,242,100.0
2011-06,242,1,42,17.36
2011-06,242,2,38,15.7
2011-06,242,3,64,26.45
2011-06,242,4,56,23.14
2011-06,242,5,81,33.47
2011-06,242,6,23,9.5
2011-07,188,0,188,100.0
2011-07,188,1,34,18.09
2011-07,188,2,39,20.74
2011-07,188,3,42,22.34
2011-07,188,4,51,27.13
2011-07,188,5,21,11.17
2011-08,169,0,169,100.0
2011-08,169,1,35,20.71
2011-08,169,2,42,24.85
2011-08,169,3,41,24.26
2011-08,169,4,21,12.43
2011-09,299,0,299,100.0
2011-09,299,1,70,23.41
2011-09,299,2,90,30.1
2011-09,299,3,34,11.37
2011-10,358,0,358,100.0
2011-10,358,1,86,24.02
2011-10,358,2,41,11.45
2011-11,323,0,323,100.0
2011-11,323,1,36,11.15
2011-12,41,0,41,100.0
