CustomerID,Country,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,TotalTransactions,TotalUnits,R_Score,F_Score,M_Score,RFM_Cell,RFM_Avg_Score,Customer_Segment
14646,Netherlands,2010-12-20 10:09:00,2011-12-08 12:12:00,2,73,280206.02,2076,196915,5,5,5,5-5-5,5.0,Champions
18102,United Kingdom,2010-12-07 16:42:00,2011-12-09 11:50:00,1,60,259657.3,431,64124,5,5,5,5-5-5,5.0,Champions
17450,United Kingdom,2010-12-07 09:23:00,2011-12-01 13:29:00,9,46,194550.79,337,69993,5,5,5,5-5-5,5.0,Champions
16446,United Kingdom,2011-05-18 09:52:00,2011-12-09 09:15:00,1,2,168472.5,3,80997,5,3,5,5-3-5,4.33,Loyal Customers
14911,EIRE,2010-12-01 14:05:00,2011-12-08 15:54:00,2,201,143825.06,5675,80265,5,5,5,5-5-5,5.0,Champions
12415,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,25,21,124914.53,714,77374,4,5,5,4-5-5,4.67,Champions
14156,EIRE,2010-12-03 11:48:00,2011-11-30 10:54:00,10,55,117379.63,1400,57885,5,5,5,5-5-5,5.0,Champions
17511,United Kingdom,2010-12-01 10:19:00,2011-12-07 10:12:00,3,31,91062.38,963,64549,5,5,5,5-5-5,5.0,Champions
16029,United Kingdom,2010-12-01 09:57:00,2011-11-01 10:27:00,39,63,81024.84,242,40208,3,5,5,3-5-5,4.33,Loyal Customers
12346,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,1,74215,1,2,5,1-2-5,2.67,At-Risk
16684,United Kingdom,2010-12-16 17:34:00,2011-12-05 14:06:00,5,28,66653.56,277,50255,5,5,5,5-5-5,5.0,Champions
14096,United Kingdom,2011-08-30 10:49:00,2011-12-05 17:17:00,5,17,65164.79,5111,16352,5,5,5,5-5-5,5.0,Champions
13694,United Kingdom,2010-12-01 12:12:00,2011-12-06 09:32:00,4,50,65039.62,568,63312,5,5,5,5-5-5,5.0,Champions
15311,United Kingdom,2010-12-01 09:41:00,2011-12-09 12:00:00,1,91,60767.9,2379,38194,5,5,5,5-5-5,5.0,Champions
13089,United Kingdom,2010-12-05 10:27:00,2011-12-07 09:02:00,3,97,58825.83,1818,31070,5,5,5,5-5-5,5.0,Champions
17949,United Kingdom,2010-12-03 13:12:00,2011-12-08 18:46:00,2,45,58510.48,70,30546,5,5,5,5-5-5,5.0,Champions
15769,United Kingdom,2010-12-03 15:16:00,2011-12-02 13:52:00,8,26,56252.72,130,29672,5,5,5,5-5-5,5.0,Champions
15061,United Kingdom,2010-12-02 15:19:00,2011-12-06 12:06:00,4,48,54534.14,403,28920,5,5,5,5-5-5,5.0,Champions
14298,United Kingdom,2010-12-14 12:59:00,2011-12-01 13:12:00,9,44,51527.3,1637,58343,5,5,5,5-5-5,5.0,Champions
14088,United Kingdom,2011-01-21 13:07:00,2011-11-29 16:16:00,11,13,50491.81,589,12665,5,5,5,5-5-5,5.0,Champions
15749,United Kingdom,2011-01-11 12:55:00,2011-04-18 13:20:00,236,3,44534.3,10,18028,1,4,5,1-4-5,3.33,At-Risk
12931,United Kingdom,2010-12-17 09:45:00,2011-11-18 12:39:00,22,15,42055.96,82,28004,4,5,5,4-5-5,4.67,Champions
17841,United Kingdom,2010-12-01 14:41:00,2011-12-08 12:07:00,2,124,40991.57,7847,23071,5,5,5,5-5-5,5.0,Champions
15098,United Kingdom,2011-06-10 15:22:00,2011-06-10 15:33:00,183,3,39916.5,3,121,1,4,5,1-4-5,3.33,At-Risk
13798,United Kingdom,2010-12-02 17:24:00,2011-12-08 15:51:00,2,57,37153.85,349,23948,5,5,5,5-5-5,5.0,Champions
16013,United Kingdom,2010-12-03 13:09:00,2011-12-06 10:36:00,4,47,37130.6,139,15536,5,5,5,5-5-5,5.0,Champions
16422,United Kingdom,2010-12-05 15:35:00,2011-11-22 14:00:00,18,51,34684.4,369,33704,4,5,5,4-5-5,4.67,Champions
12748,United Kingdom,2010-12-01 12:48:00,2011-12-09 12:20:00,1,209,33719.73,4595,25747,5,5,5,5-5-5,5.0,Champions
15838,United Kingdom,2010-12-07 11:26:00,2011-11-28 14:00:00,12,19,33643.08,167,18368,5,5,5,5-5-5,5.0,Champions
17404,Sweden,2010-12-14 13:28:00,2011-12-05 16:26:00,5,15,31906.82,198,32748,5,5,5,5-5-5,5.0,Champions
17389,United Kingdom,2011-01-12 15:48:00,2011-12-09 09:38:00,1,34,31833.68,213,7612,5,5,5,5-5-5,5.0,Champions
13098,United Kingdom,2011-01-26 13:46:00,2011-12-08 14:14:00,2,28,28882.44,572,15968,5,5,5,5-5-5,5.0,Champions
14680,United Kingdom,2010-12-03 12:05:00,2011-11-14 16:59:00,26,16,28754.11,258,13476,4,5,5,4-5-5,4.67,Champions
13081,United Kingdom,2010-12-03 17:20:00,2011-11-28 10:54:00,12,11,28337.38,1024,19068,5,5,5,5-5-5,5.0,Champions
13408,United Kingdom,2010-12-01 10:39:00,2011-12-08 09:05:00,2,62,28117.04,478,16232,5,5,5,5-5-5,5.0,Champions
17857,United Kingdom,2010-12-09 11:35:00,2011-12-05 13:13:00,5,23,26879.04,54,19256,5,5,5,5-5-5,5.0,Champions
16333,United Kingdom,2011-02-03 10:50:00,2011-12-02 12:19:00,8,22,26626.8,45,32184,5,5,5,5-5-5,5.0,Champions
13777,United Kingdom,2010-12-01 16:01:00,2011-12-09 12:25:00,1,33,25977.16,197,12897,5,5,5,5-5-5,5.0,Champions
12753,Japan,2010-12-12 11:44:00,2011-11-17 10:52:00,23,6,21429.39,197,11421,4,5,5,4-5-5,4.67,Champions
12744,Singapore,2011-01-25 13:26:00,2011-10-19 11:18:00,52,7,21279.29,222,5241,3,5,5,3-5-5,4.33,Loyal Customers
16210,United Kingdom,2010-12-01 12:27:00,2011-12-08 12:36:00,2,18,21086.3,123,7559,5,5,5,5-5-5,5.0,Champions
